,max_rank,min_rank
B00BFSMXB0,2699752,227614
B07CKYQ1MV,39185,1067
B06XV6XP2G,355931,35857
1609454839,1872441,39881
178133188X,823407,14391
B009K9NNM4,4734840,4014317
B016VSSFV0,1297648,94615
0316769177,34739,376
B01M62F528,604145,19311
034549816X,497155,27685
0544302656,356792,17352
1484219422,1233362,39901
032197137X,312353,168
1945419245,3004317,181282
B07BNR4MQ4,615166,13805
B071NR822D,515795,13271
0998489867,3377173,125318
B016HBRORW,5820,129
B00CH5B23A,345703,17185
B000FBFNQ0,326294,33393
0749933097,17186326,14438146
0992616727,254605,8043
1610396766,84291,4749
B00YB44EYO,17124,17
1635871727,460399,316
0008149593,9924470,6468606
B018055QKK,425646,38034
1590794443,1435392,9263
0759672229,86462,1797
B01FM1TV60,2737610,2629639
B00BATG25M,623267,204875
0345547985,23440,1
1291284990,12477087,8812739
B01B0K7EM0,4493,1130
B005OBBV44,93716,12985
080141993X,3884637,115735
1940456843,871785,9559
0231166206,3014234,171473
B007XYILLQ,252536,19792
0988768534,5524800,200767
B01NBQ33JD,1207369,53883
B00QP3M0UO,24253,4128
1506209238,75804,12018
1540573028,4846124,136593
B000WI9MX6,17067690,14511524
0132751917,693711,8505
B00HSXGYCK,29005,70
0986023361,6112555,310947
019871680X,2415229,109590
1621050491,1142851,59408
0141324910,393706,14963
1520890044,1007943,37520
B07CJNLWK9,1427230,112784
B00NE0U2Z6,1488058,102669
B01781PZQC,1862191,120599
B00I8VNUFU,1100726,77035
B01K6VVC04,1606919,79160
1138633542,6421531,109021
3100022831,18389893,52569
B072HVSWC7,2311294,98710
0857689290,930367,52533
1934730637,6057451,98416
B076DMJN3T,1215183,5314
B01MR5T7QS,502911,11830
B079Q9B52Q,3402811,2264025
1118129717,1341873,48382
1611802660,214996,3720
1312559675,5766748,194066
0393244466,1055733,116657
1632687747,11005830,7269282
0273786377,4069253,90285
1628728442,2626390,50251
1530782104,12695657,9043295
1574781510,2120043,74678
0415416353,3435782,2834864
1843442655,3082142,61528
0996797637,12530206,11068374
0751563048,892835,30513
197413427X,7977481,188744
1520384572,1273897,97507
B00994DMOY,1304482,58283
B00FGSVC30,754848,113360
8804633670,16059700,13156732
B00QTVTEDI,229597,172
0345509048,352467,21027
0985517964,2094375,110820
B01N7ZUOI6,1087175,647
B01LZP63PI,112049,3163
B00N9JVN3W,1352038,32194
B0794D89BL,1224450,96249
1979992029,2614380,85804
0829758747,742175,36100
1633570657,3034467,116725
1250113237,76888,6529
B007R54JKI,566063,43029
0857083716,1899754,100194
1945053186,6860246,91223
B00YCKQVO8,898200,28190
B019ZWZW0G,3813043,3760692
162184059X,2727491,115180
0996494618,4548831,4544879
B079HMMGCJ,1484987,55125
0062213083,489476,3568
0205238467,642200,24701
1533155445,12401956,8660630
0781812461,1646133,52284
0743249275,65614,3074
1452149658,1389036,74154
1626390487,4522216,170220
1477410503,5273275,3773257
1781082995,827901,34006
B07C7Q8CCY,45729,570
B00UVUEWNA,550799,44655
1405284188,2710190,89527
B00N4IQRD4,162418,5453
B072V284CJ,674810,6883
B077WLPLQL,1900550,19741
B01FJ1D9NO,3467497,1851638
0307745317,618098,7811
B078WLYHQB,14707,294
B07CKFZ4Q8,3129728,157276
B018UGU2US,2239108,1598691
0062574140,456170,20387
1770531483,7935921,66577
1471070077,11455801,7634891
B00FDWYBRS,728896,57720
B016RH95OG,663665,51558
0062693980,5120,17
1605500240,1982275,33432
B01JIGLPLY,2113536,97598
032507822X,7977,53
B078PB8C4F,206496,3952
B01824YMCM,64383,18456
B07C47RDKN,2511406,1476323
B0787X9J1Q,3383036,113326
B008A9OZB8,4070482,123509
1533320152,2355431,99243
194425580X,1917272,90686
0345469372,301032,15292
B07BY7ZN84,1368945,48899
178588803X,1615664,89964
0992571324,4326528,79758
B005BQXYC4,1160479,96176
1408815672,3026754,120551
1502918803,2776246,126134
1475149093,2051369,66476
1476771200,430016,23198
B06WD1K4V1,1260221,66445
B002WYJI46,1234374,99361
0316505455,64372,6303
B01JGP3QTG,301668,32800
0393240053,21886,3031
B00MEMKG9M,927109,101206
B0767RJ2YJ,1413313,33120
B07DYBSQNL,225953,160240
B0103HV6HA,1041265,27233
029931040X,2626709,59280
1510735852,264476,1143
1405928263,1704902,51216
0823273261,3528782,163842
1601549679,7347694,3428615
B01JB3MJ5A,169230,6779
1473669081,3980572,157163
B01MQPKCT4,518493,42813
1478920440,1102500,166344
1619029561,530675,4361
1684421942,2096170,62256
1787196747,4343535,111073
B01CEY0LDU,99012,9965
0803740522,1333394,16138
B07CXN7JYP,369684,2734
1594205817,233466,3338
B00R6C8B2E,410427,34031
B00H5VYTEA,2624733,108896
B06WP1VCSN,4311807,11643
0692970223,1094423,1826
0990393682,3908285,131261
0850309697,7369876,166323
B00FQYL4FK,1091409,103978
1400079276,10617,1924
0310530717,678344,11229
B079NDS2GW,683797,9690
1521723656,5207787,120717
B01LL3UOAU,1306748,6793
B079FFYR5N,17016,6076
0394805755,35598,5102
B07BT3CGD7,583396,14646
B003NHS8TW,851185,61656
B00OZ0TKL6,391859,24836
0352340754,7067087,4888988
B00U6I6168,285665,20310
0553347594,366875,22482
1101982500,1517664,37120
B004GUTMPY,406976,37914
B01M094QT2,3464083,232805
3775741674,1061137,51284
B01MRI7HSQ,1735069,105925
B00IWTWB1M,287238,25442
1520195745,8166833,262220
1627980067,4268227,136627
B079Q9QGND,254576,29566
1501120549,437403,24569
191217569X,4606375,152064
3492247687,6234783,5781110
0789467771,4929330,264933
B00SU756OU,371899,63099
B00LEGQUZS,421431,48243
1138202290,846839,23131
1608465640,30735,146
B00L3HL52Q,892706,118676
B00HXKDSQS,1214734,110311
1926606663,5514213,3925627
1981879285,8852695,1932405
B077SBWMKT,1942,1246
0062330268,316840,14452
3499267977,13384287,11514652
B078H5F15J,939160,18672
1590588622,2133127,71949
147673352X,252290,116
1908737255,4167202,170178
1985196441,950841,99811
3789133329,11025362,7283411
0758266316,1540906,83216
B00RWU9W0A,1303746,60872
1785884697,2173270,81426
B00SGIM70O,778373,9158
1516866746,10765,232
B01M3R3QHZ,1668445,29074
067973337X,68580,6299
3940345687,11659289,7745617
159554089X,779587,31854
3888975948,11187377,7402866
B00OXHDQNE,490856,46467
